epoch,step,train/loss,train/reward,val/reward
0,41,,,-438.22601318359375
1,49,3577.37109375,-421.7083435058594,
1,83,,,-433.322998046875
2,99,1259.3291015625,-425.0625,
2,125,,,-440.6730041503906
3,149,-3136.397216796875,-441.8958435058594,
3,167,,,-476.52398681640625
4,199,-3711.87255859375,-439.9375,
4,209,,,-476.52398681640625
5,249,-4108.31640625,-445.25,
5,251,,,-476.52398681640625
6,293,,,-476.52398681640625
7,299,-5914.35302734375,-449.4375,
7,335,,,-476.52398681640625
8,349,-494.2192077636719,-436.5625,
8,377,,,-476.52398681640625
9,399,-2747.32763671875,-439.60418701171875,
9,419,,,-476.52398681640625
10,449,-42.07389450073242,-433.3125,
10,461,,,-476.52398681640625
11,499,-3300.834716796875,-441.29168701171875,
11,503,,,-476.52398681640625
12,545,,,-476.52398681640625
13,549,-1399.296630859375,-436.54168701171875,
13,587,,,-476.52398681640625
14,599,-3285.601318359375,-442.3958435058594,
14,629,,,-476.52398681640625
15,649,-2154.024169921875,-441.3958435058594,
15,671,,,-476.52398681640625
16,699,-2322.17578125,-443.04168701171875,
16,713,,,-476.52398681640625
17,749,-3101.2255859375,-445.5,
17,755,,,-476.52398681640625
18,797,,,-476.52398681640625
19,799,-4697.9716796875,-444.4583435058594,
19,839,,,-476.52398681640625
20,849,-5413.8154296875,-443.2083435058594,
20,881,,,-476.52398681640625
21,899,-1803.33203125,-438.5208435058594,
21,923,,,-476.52398681640625
22,949,-480.7399597167969,-442.0625,
22,965,,,-476.52398681640625
23,999,-592.9658203125,-441.54168701171875,
23,1007,,,-476.52398681640625
24,1049,-2979.3798828125,-447.0,
24,1049,,,-476.52398681640625
25,1091,,,-476.52398681640625
26,1099,-2899.12109375,-445.91668701171875,
26,1133,,,-476.52398681640625
27,1149,-539.7113647460938,-437.79168701171875,
27,1175,,,-476.52398681640625
28,1199,-2679.62255859375,-443.1875,
28,1217,,,-476.52398681640625
29,1249,-2748.188232421875,-439.0625,
29,1259,,,-476.52398681640625
30,1299,-2668.744140625,-442.5,
30,1301,,,-476.52398681640625
31,1343,,,-476.52398681640625
32,1349,-2919.43701171875,-443.9583435058594,
32,1385,,,-476.52398681640625
33,1399,212.7506103515625,-439.41668701171875,
33,1427,,,-476.52398681640625
34,1449,-848.01171875,-438.9375,
34,1469,,,-476.52398681640625
35,1499,-3162.61181640625,-442.3125,
35,1511,,,-476.52398681640625
36,1549,-3997.49951171875,-441.04168701171875,
36,1553,,,-476.52398681640625
37,1595,,,-476.52398681640625
38,1599,1677.98046875,-435.35418701171875,
38,1637,,,-476.52398681640625
39,1649,-4747.27294921875,-442.125,
39,1679,,,-476.52398681640625
40,1699,-3295.080078125,-442.875,
40,1721,,,-476.52398681640625
41,1749,-4654.7978515625,-444.125,
41,1763,,,-476.52398681640625
42,1799,-2839.947265625,-443.60418701171875,
42,1805,,,-476.52398681640625
43,1847,,,-476.52398681640625
44,1849,-1862.807861328125,-440.375,
44,1889,,,-476.52398681640625
45,1899,-3282.2724609375,-440.9375,
45,1931,,,-476.52398681640625
46,1949,-2355.04150390625,-440.22918701171875,
46,1973,,,-476.52398681640625
47,1999,-1726.1103515625,-434.29168701171875,
47,2015,,,-476.52398681640625
48,2049,-531.60107421875,-439.1458435058594,
48,2057,,,-476.52398681640625
49,2099,-2071.458984375,-442.3125,
49,2099,,,-476.52398681640625
50,2141,,,-476.52398681640625
51,2149,-1280.6578369140625,-441.8958435058594,
51,2183,,,-476.52398681640625
52,2199,-3627.16015625,-443.9583435058594,
52,2225,,,-476.52398681640625
53,2249,-3080.200927734375,-444.66668701171875,
53,2267,,,-476.52398681640625
54,2299,-3738.79443359375,-441.5625,
54,2309,,,-476.52398681640625
55,2349,-3380.2392578125,-441.125,
55,2351,,,-476.52398681640625
56,2393,,,-476.52398681640625
57,2399,-1574.2845458984375,-441.2708435058594,
57,2435,,,-476.52398681640625
58,2449,-2185.068359375,-442.29168701171875,
58,2477,,,-476.52398681640625
59,2499,-2565.868408203125,-443.625,
59,2519,,,-476.52398681640625
60,2549,-3265.533935546875,-439.2083435058594,
60,2561,,,-476.52398681640625
61,2599,-2513.6728515625,-441.3333435058594,
61,2603,,,-476.52398681640625
62,2645,,,-476.52398681640625
63,2649,-3901.9453125,-444.22918701171875,
63,2687,,,-476.52398681640625
64,2699,-5601.330078125,-445.9583435058594,
64,2729,,,-476.52398681640625
65,2749,392.6136169433594,-438.9375,
65,2771,,,-476.52398681640625
66,2799,-1004.18115234375,-438.25,
66,2813,,,-476.52398681640625
67,2849,-3886.06689453125,-441.0833435058594,
67,2855,,,-476.52398681640625
68,2897,,,-476.52398681640625
69,2899,-2801.752685546875,-442.35418701171875,
69,2939,,,-476.52398681640625
70,2949,-5148.14208984375,-446.04168701171875,
70,2981,,,-476.52398681640625
71,2999,-3388.315185546875,-445.625,
71,3023,,,-476.52398681640625
72,3049,-3501.361328125,-444.0208435058594,
72,3065,,,-476.52398681640625
73,3099,-514.2542724609375,-441.3958435058594,
73,3107,,,-476.52398681640625
74,3149,-2361.994140625,-441.6875,
74,3149,,,-476.52398681640625
75,3191,,,-476.52398681640625
76,3199,-3169.9248046875,-444.5208435058594,
76,3233,,,-476.52398681640625
77,3249,-713.3536987304688,-440.5625,
77,3275,,,-476.52398681640625
78,3299,-6335.396484375,-454.91668701171875,
78,3317,,,-476.52398681640625
79,3349,-3324.228271484375,-444.0833435058594,
79,3359,,,-476.52398681640625
80,3399,-4722.28271484375,-444.25,
80,3401,,,-476.52398681640625
